"username","gender","deg","betweeness","job_cat_simplified","year"
"ID1","female",3,16.2554908979909,"Student",2018
"ID3","female",2,0,"Student",2018
"ID10","female",10,33.274762982116,"Senior Lecturer / Reader",2018
"ID12","male",22,1755.39712875253,"Senior Lecturer / Reader",2018
"ID13","male",0,0,"Other",2018
"ID16","female",7,1696.83731342846,"Professor",2018
"ID17","male",0,0,"Other",2018
"ID18","male",0,0,"Research Fellow",2018
"ID19","male",5,154.728233608497,"Student",2018
"ID21","female",0,0,"Lecturer",2018
"ID22","male",2,0,"Other",2018
"ID23","female",0,0,"Other",2018
"ID24","female",6,0,"Professor",2018
"ID25","female",1,0,"Research Fellow",2018
"ID26","male",9,537.16902881465,"Senior Lecturer / Reader",2018
"ID27","male",0,0,"Research Fellow",2018
"ID29","female",0,0,"Senior Lecturer / Reader",2018
"ID33","male",23,3570.28275489871,"Professor",2018
"ID35","male",3,0,"Research Assistant / Associate",2018
"ID37","female",1,0,"Research Assistant / Associate",2018
"ID41","male",3,0,"Research Assistant / Associate",2018
"ID42","female",0,0,"Research Assistant / Associate",2018
"ID43","male",4,5.31349206349206,"Other",2018
"ID46","female",2,134.21156694183,"Other",2018
"ID48","female",2,0,"Research Fellow",2018
"ID49","male",4,0,"Research Fellow",2018
"ID54","male",0,0,"Research Assistant / Associate",2018
"ID56","male",4,31.6239659755449,"Senior Lecturer / Reader",2018
"ID57","female",3,0,"Research Assistant / Associate",2018
"ID59","female",1,0,"Senior Lecturer / Reader",2018
"ID60","female",0,0,"Research Assistant / Associate",2018
"ID61","male",5,5.5,"Lecturer",2018
"ID63","male",3,0.25,"Professor",2018
"ID69","male",11,0,"Research Fellow",2018
"ID71","female",0,0,"Other",2018
"ID74","male",8,542.980196121961,"Other",2018
"ID83","male",4,155.5,"Professor",2018
"ID84","female",2,0,"Research Assistant / Associate",2018
"ID85","male",2,3,"Research Assistant / Associate",2018
"ID88","female",5,0,"Lecturer",2018
"ID91","male",9,442.233297409668,"Professor",2018
"ID93","female",1,0,"Research Assistant / Associate",2018
"ID95","female",3,0,"Research Assistant / Associate",2018
"ID99","male",0,0,"Research Assistant / Associate",2018
"ID104","female",0,0,"Other",2018
"ID105","female",3,4.5,"Senior Lecturer / Reader",2018
"ID106","female",5,241.466666666667,"Professor",2018
"ID107","male",11,550.540878087055,"Research Assistant / Associate",2018
"ID108","male",2,0,"Professor",2018
"ID109","female",4,0,"Research Fellow",2018
"ID110","female",0,0,"Research Fellow",2018
"ID111","male",8,8.04445970695971,"Senior Lecturer / Reader",2018
"ID112","male",5,5.54444444444444,"Other",2018
"ID115","female",9,291.487969673945,"Senior Lecturer / Reader",2018
"ID116","male",3,155,"Research Fellow",2018
"ID117","male",4,155,"Senior Lecturer / Reader",2018
"ID119","male",0,0,"Research Assistant / Associate",2018
"ID120","male",2,0,"Research Fellow",2018
"ID121","male",2,0,"Research Assistant / Associate",2018
"ID129","male",8,109.743641860089,"Other",2018
"ID131","female",0,0,"Other",2018
"ID134","female",10,11.1505949745652,"Lecturer",2018
"ID139","male",1,0,"Research Assistant / Associate",2018
"ID140","female",1,0,"Research Assistant / Associate",2018
"ID141","male",13,99.0179668479669,"Senior Lecturer / Reader",2018
"ID142","female",2,0,"Other",2018
"ID143","female",1,0,"Student",2018
"ID145","male",0,0,"Professor",2018
"ID147","female",0,0,"Research Fellow",2018
"ID152","female",0,0,"Lecturer",2018
"ID153","male",1,0,"Other",2018
"ID154","male",19,216.379612154023,"Professor",2018
"ID155","female",1,0,"Other",2018
