Title,date,year,time,pandemic,gender,race,race_group,job_cat,job_cat_old,job_cat_broad,job_cat_simplified,job_cat_simplified2,job_cat_simplified3,job_cat_simplified4,author_position,N_authors,individual_position,anon_id
Pub1143,05/06/2018,2018,2018-2019,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,first,12,1,ID372
Pub6556,01/06/2020,2020,2020-2021,pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,first,10,1,ID372
Pub5653,01/06/2022,2022,2022-2023,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,17,13,ID372
Pub4874,20/10/2020,2020,2020-2021,pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,25,18,ID372
Pub328,01/03/2021,2021,2020-2021,pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,10,2,ID372
Pub7084,01/12/2022,2022,2022-2023,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,first,11,1,ID372
Pub1063,01/12/2021,2021,2020-2021,pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,10,7,ID372
Pub4070,08/09/2020,2020,2020-2021,pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,last,9,9,ID372
Pub11395,22/04/2020,2020,2020-2021,pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,21,15,ID372
Pub929,15/07/2019,2019,2018-2019,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,18,5,ID372
Pub6530,16/09/2019,2019,2018-2019,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,10,9,ID372
Pub2857,01/06/2016,2016,2016-2017,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,first,6,1,ID372
Pub10569,01/12/2015,2015,2014-2015,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,middle,4,3,ID372
Pub9753,11/09/2014,2014,2014-2015,not pandemic,female,white,white,Lecturer,Lecturer / Senior Lecturer,Tenure,Lecturer,Lecturer / Reader,Lecturer,Lecturer,first,7,1,ID372
Pub3472,01/04/2017,2017,2016-2017,not pandemic,male,white,white,Professor,Reader / Professor,Tenure,Professor,Professor,Professor,Professor,last,5,5,ID473
